,name,edited_files
58,7389bdc19051fa9e712e4f9e74294e8063c41814 (refs/remotes/Turingforce/stable),autogpt/VM0043files/CUT_PDv4.1_July_2022.pdf|...thodology-for-CO2-Utilization-in-Concrete-Production-Carbon-Cure.pdf|autogpt/VM0043files/Project Description-v32_RL.pdf|autogpt/VM0043files/VCS-Project-Description-Carbon-Limit_Oct_2022.pdf|autogpt/VM0043files/VCS-Project-Description-Template-v4.3.docx|autogpt/VM0043files/VCS-Project-Description_Ozinga_May_2022_v2.pdf|autogpt/VM0043files/VCS-Standard-v4.5.pdf|autogpt/VM0043files/VCS_PROJ_DESC_DRAFT_3823_15SEPT2022.pdf|autogpt/VM0043files/VCS_PROJ_DESC_PCP_4018_21DEC2022.pdf
59,6aaf1b92f5626ecdc316859e207c7252d8a458dc,<ARENA>
60,9a78c1fde512d69afca9145d12086feb618df28a (refs/remotes/lc0rp/temp),<markdown>|autogpt/app/cli.py|<reports>|.dockerignore|<infra>|azure.yaml.template => config/azure.yaml.template|data_ingestion.py|mkdocs.yml|netlify.toml|<image>|scripts/check_requirements.py|run.bat => scripts/run.bat|run.sh => scripts/run.sh|run_continuous.bat => scripts/run_continuous.bat|run_continuous.sh => scripts/run_continuous.sh|autogpt/config/config.py|autogpt/plugins/__init__.py|config/personas/{codezilla => coder}/engineer/ai.yaml|config/personas/{cv2/planner => coder/engineer}/prompts.yaml|config/personas/{codezilla/planner => coder/v2}/ai.yaml|config/personas/{codezilla/planner => coder/v2}/prompts.yaml|config/personas/codezilla/engineer/prompts.yaml|config/personas/cv2/engineer/ai.yaml|config/personas/cv2/engineer/prompts.yaml|config/personas/cv2/planner/ai.yaml|config/personas/turbo35/prompts.yaml|core_plugins/Auto-GPT-Dolly-Plugin/__init__.py|.../{ => old}/resources/ai_settings_template.yaml|core_plugins/Auto-GPT-Dolly-Plugin/shepherd.py|scripts/install_plugin_deps.py|turbo/personas/manager.py|core_plugins/Auto-GPT-Dolly-Plugin/LICENSE|core_plugins/Auto-GPT-Dolly-Plugin/Makefile|core_plugins/Auto-GPT-Dolly-Plugin/helpers.bat|core_plugins/Auto-GPT-Dolly-Plugin/helpers.sh|core_plugins/Auto-GPT-Dolly-Plugin/old/__init__.py|core_plugins/Auto-GPT-Dolly-Plugin/old/dolly.py|core_plugins/Auto-GPT-Dolly-Plugin/old/dolly_manager.py|core_plugins/Auto-GPT-Dolly-Plugin/old/flock.py|core_plugins/Auto-GPT-Dolly-Plugin/old/test_dolly.py|core_plugins/Auto-GPT-Dolly-Plugin/pylintrc|.../Auto-GPT-Dolly-Plugin/resources/ai_settings_template.yaml|core_plugins/Auto-GPT-Dolly-Plugin/run_pylint.py|Pipfile|<benchmark>|autogpt/agents/agent.py|autogpt/agents/base.py|autogpt/app/main.py|autogpt/commands/execute_code.py|autogpt/commands/file_operations.py|autogpt/llm/base.py|autogpt/memory/message_history.py|autogpt/prompts/generator.py|config/{presets => personas}/codezilla/engineer/ai.yaml|config/{presets => personas}/codezilla/engineer/prompts.yaml|config/{presets => personas}/codezilla/planner/ai.yaml|config/{presets => personas}/codezilla/planner/prompts.yaml|.../codezilla/engineer_both => personas/cv2/engineer}/ai.yaml|.../engineer_both => personas/cv2/engineer}/prompts.yaml|config/personas/cv2/planner/prompts.yaml|config/{presets => personas}/turbo/prompts copy - Aug 23.yaml|.../{presets => personas}/turbo/prompts copy - Aug 31 - 2.yaml|config/{presets => personas}/turbo/prompts copy - Aug 31.yaml|config/{presets => personas}/turbo/prompts copy.yaml|config/{presets => personas}/turbo/prompts.yaml|config/{presets => personas}/turbo35/prompts.yaml|turbo/commands/interact.py|turbo/personas/__init__.py|turbo/presets/__init__.py|turbo/presets/manager.py|autogpt/commands/__init__.py|.../presets/codezilla/engineer_both}/ai.yaml|.../presets/codezilla/engineer_both}/prompts.yaml|turbo/commands/file_operations.py|turbo/commands/memory.py|turbo/presets/codezilla/planner/ai.yaml|turbo/presets/codezilla/planner/prompts.yaml|turbo/presets/turbo/prompts copy - Aug 23.yaml|turbo/presets/turbo/prompts copy - Aug 31 - 2.yaml|turbo/presets/turbo/prompts copy - Aug 31.yaml|turbo/presets/turbo/prompts copy.yaml|turbo/presets/turbo/prompts.yaml|turbo/presets/turbo35/prompts.yaml
61,f231f589cd07d1899b1f77c180295a3554756c9c,<challenge>|<benchmark>|.dockerignore|<infra>|.gitignore|autogpt/config/config.py|autogpt/plugins/__init__.py|autogpt/plugins/plugins_config.py|config/presets/codezilla/engineer/ai.yaml|<markdown>|config/presets/codezilla/engineer/prompts.yaml|config/presets/codezilla/planner/ai.yaml|config/presets/codezilla/planner/prompts.yaml|config/presets/turbo/prompts copy - Aug 23.yaml|config/presets/turbo/prompts copy - Aug 31 - 2.yaml|config/presets/turbo/prompts copy - Aug 31.yaml|config/presets/turbo/prompts copy.yaml|config/presets/turbo/prompts.yaml|config/presets/turbo35/prompts.yaml|prompt_settings.yaml => config/prompt_settings.yaml|prompt_settings_turbo.yaml|tests/conftest.py|turbo/commands/interact.py|turbo/presets/codezilla/engineer/ai.yaml|turbo/presets/codezilla/planner/ai.yaml|turbo/presets/manager.py|autogpt/agents/agent.py|autogpt/app/cli.py|autogpt/app/main.py|autogpt/commands/__init__.py|autogpt/commands/execute_code.py|autogpt/commands/file_operations.py|<reports>|benchmarks.py|examples/codezilla/file-organizer/clarify.txt|examples/codezilla/file-organizer/file_organizer.py|examples/codezilla/file-organizer/project.txt|examples/codezilla/file-organizer/spec.txt|examples/codezilla/file-organizer/test_file_organizer.py|examples/codezilla/tic-tac-toe/clarify.txt|examples/codezilla/tic-tac-toe/project.txt|examples/codezilla/tic-tac-toe/spec.txt|examples/codezilla/tic-tac-toe/test_tic_tac_toe.py|examples/codezilla/tic-tac-toe/tic_tac_toe.py|examples/turbo/goal.txt|examples/turbo/tic_tac_toe.py|tests/integration/test_execute_code.py|tests/unit/test_file_operations.py|turbo/commands/file_operations.py|turbo/commands/multi.py|turbo/presets/codezilla/engineer/prompts.yaml|turbo/presets/codezilla/planner/prompts.yaml|turbo/presets/turbo/prompts.yaml|turbo/profiler/profiler.py|turbo/tests/test_interaction.py
62,d8ff43b9bf92d29a46c2be62d0578378dbedbf06 (refs/remotes/Bentlybro/patch-1),<markdown>|docs/mkdocs.yml
63,5bd5082cfd331ed5ab43f206a860e2d575511327,<ARENA>
64,15f531f7354ec3bb9b80e18d06bb388dd98b349f (refs/remotes/cislerk/arena_submission_CISLERK),<ARENA>
65,406e8f4673d02ccd056a9ead294ea3e45702af98 (refs/remotes/ox1111/master),<markdown>
66,c7d71f842645ad5110bafe21fe7fcd0e8bf2c306 (refs/remotes/kitdesai/arena_submission_AgentKD),<ARENA>
67,b251fb634544e3ef31a3e63c728652e000e53581,<ARENA>
68,69c56172af2a0a1bd3633388f40cb870e986a29e (refs/remotes/kwassali/master),<markdown>
69,"47eb5124fa97187d7f3fa4036e422cd771cf0ae7 (refs/remotes/trapper99/master, refs/remotes/somnistudio/master, refs/remotes/jmaz2013/master, refs/remotes/hualde/master, refs/remotes/carbonjo/master, refs/remotes/bRitch022/master, refs/remotes/auctifera-josed/master, refs/remotes/Red0lv/master, refs/remotes/Midway2009/master, refs/remotes/Hustount/master)",<ARENA>
70,"546e08a5cf2413fcfb857e2c41d21c80c3364218 (refs/remotes/yepher/master, refs/remotes/spullara/master, refs/remotes/shotclown/master, refs/remotes/realaman90/master, refs/remotes/mekly/master, refs/remotes/matthewkarlson/master, refs/remotes/magicmoam/master, refs/remotes/lihenggui/master, refs/remotes/jianhuanggo/master, refs/remotes/fmbento/master, refs/remotes/doggy8088/master, refs/remotes/codehornets/master, refs/remotes/chen12333/master, refs/remotes/blakeox/master, refs/remotes/backtrace3/master, refs/remotes/alu416/master, refs/remotes/Tokva1/master, refs/remotes/Say-Hello-World/master, refs/remotes/OrangePi1111/master, refs/remotes/MementoRC/master, refs/remotes/Dimsum-art/master, refs/remotes/CarlVert23/master, refs/remotes/Broccoli-AI/master, refs/remotes/BarneyChambers/master)",<ARENA>
71,65b8e0da5ca81088ea1160bb23231aa7cd52e521 (refs/remotes/pollitoiracundo/stable),<markdown>
